Date,Model Number,Brand,Name,Currency,Store Name,Partner Rating,Positive Rating,price,Sale price,FBN,Links
18-10-2022,null,Cactus Fitness,Cactus fitness Yoga Pilates Mat Gym Exercise Mat Home Fitness For Women And Men Non-slip TPE mat 183cm extra long,EGP,Cactus Fitness,null,null,368.00,345.00,noon-marketplace,https://www.noon.com//egypt-en/cactus-fitness-yoga-pilates-mat-gym-exercise-mat-home-fitness-for-women-and-men-non-slip-tpe-mat-183cm-extra-long/Z32F83DB40EC8BFF57E40Z/p/?o=z32f83db40ec8bff57e40z-1
18-10-2022,6043-10,Athlete Home,Exercise Yoga Aerobic Ball 65cm,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-yoga-aerobic-ball-65cm/N51237306A/p/?o=f19bdd7f1050d24f
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/Z03A287907900991A3B28Z/p/?o=z03a287907900991a3b28z-1
18-10-2022,Y-14837BL,Generic,Yoga Ball 25centimeter,EGP,Brenda Box,2.8,43%,59.90 ,59.90 ,noon-express,https://www.noon.com//egypt-en/yoga-ball-25centimeter/N36591417A/p/?o=d43d7ff6bda33ddf
18-10-2022,BB-8330,BODY SCULPTURE,Yoga Mat 17mm,EGP,noon,4.2,78%,917.00,799.00,noon-express,https://www.noon.com//egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/ZEBED6D16E0EC765CAF2EZ/p/?o=zebed6d16e0ec765caf2ez-1
18-10-2022,2025515992,Spurt,18D-141 Yoga Roller Pink 30cm,EGP,noon,4.2,78%,293.00,183.00,noon-express,https://www.noon.com//egypt-en/18d-141-yoga-roller-pink-30cm/N46040263A/p/?o=e136e8d59160f04b
18-10-2022,6849,Athlete Home,Power Pull High End Mat,EGP,Athlete Home,3.8,68%,400.00,360.00,noon-express,https://www.noon.com//egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1
18-10-2022,6316-71,Athlete Home,Yoga Ball 2021 65cm,EGP,Athlete Home,3.8,68%,159.00,159.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-65cm/N51237367A/p/?o=caadc10a1c81c2cf
18-10-2022,6316-70,Athlete Home,Yoga Ball 2021 55cm,EGP,Athlete Home,3.8,68%,149.00,149.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-55cm/N51237366A/p/?o=f1eac5b35d4d5bab
18-10-2022,31516,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1
18-10-2022,322-60979526-17,UFIT,Yoga Mat With Carrying Strap & Bag- 10 Mm 183 x 61 x 1cm,EGP,Kanteen.store,3.7,59%,319.00,319.00,noon-marketplace,https://www.noon.com//egypt-en/yoga-mat-with-carrying-strap-bag-10-mm-183-x-61-x-1cm/N44711368A/p/?o=ccdc870db72447af
18-10-2022,22800,Athlete Home,Leather Gym Sand Bag 100cm,EGP,Athlete Home,3.8,68%,700.00,560.00,noon-express,https://www.noon.com//egypt-en/leather-gym-sand-bag-100cm/N52997044A/p/?o=b1cadc6eef97ef2f
18-10-2022,18D-141A-2,Spurt,Yoga Roller 30cm,EGP,noon,4.2,78%,332.00,208.00,noon-express,https://www.noon.com//egypt-en/yoga-roller-30cm/N51379862A/p/?o=f62950b0df952a0a
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/Z4CFA9AF7F657C560B1CFZ/p/?o=z4cfa9af7f657c560b1cfz-1
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/ZAC8A4707183C0448FE35Z/p/?o=zac8a4707183c0448fe35z-1
18-10-2022,BB-021-45cm,BODY SCULPTURE,Full Round Foam Roller 15x45centimeter,EGP,noon,4.2,78%,667.00,519.00,noon-express,https://www.noon.com//egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f
18-10-2022,31505,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1
18-10-2022,5984,Athlete Home,Athlete Home Exercise Mat 6 mm Phosphoric PVC,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/athlete-home-exercise-mat-6-mm-phosphoric-pvc/Z9ED1A5930C33B31980CFZ/p/?o=z9ed1a5930c33b31980cfz-1
18-10-2022,6316-73,Athlete Home,Yoga Ball 2021 85cm,EGP,Athlete Home,3.8,68%,179.00,179.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-85cm/N51237369A/p/?o=d04894b993140e3f
18-10-2022,31506,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1
18-10-2022,MN0047PU,Generic,Anti-Burst Yoga Swiss Ball 25centimeter,EGP,Brenda Box,2.8,43%,59.90 ,59.90 ,noon-express,https://www.noon.com//egypt-en/anti-burst-yoga-swiss-ball-25centimeter/N31126834A/p/?o=b1502ca71a0cf2aa
18-10-2022,6555,Athlete Home,Athlete Home 5mm Mat With Bag,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1
18-10-2022,715280699690,BODY SCULPTURE,Yoga Mat 173x61cm,EGP,noon,4.2,78%,529.00,386.00,noon-express,https://www.noon.com//egypt-en/yoga-mat-173x61cm/N52977832A/p/?o=cedc1a81e20f31ee
18-10-2022,1097PR1234,Prickly Pear,Sweat Absorbent Anti Slip Strength Travel Yoga Mat 61 cm,EGP,vogue,2.8,49%,999.00,789.00,noon-marketplace,https://www.noon.com//egypt-en/sweat-absorbent-anti-slip-strength-travel-yoga-mat-61-cm/N35941523A/p/?o=ec4ebccd39000afd
18-10-2022,31512,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1
18-10-2022,322-21384723-17,UFIT,Yoga Mat With Carrying Strap & Bag- 10 Mm 183x61cm,EGP,Kanteen.store,3.7,59%,319.00,319.00,noon-express,https://www.noon.com//egypt-en/yoga-mat-with-carrying-strap-bag-10-mm-183x61cm/N44711392A/p/?o=cf2ae519fd0d449c
18-10-2022,31513,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZBE82189E5CC582A4D612Z/p/?o=zbe82189e5cc582a4d612z-1
18-10-2022,31509,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZC67D1F852D66632BD795Z/p/?o=zc67d1f852d66632bd795z-1
18-10-2022,1004591,Generic,Non Slip Yoga Mat With Carrying Bag,EGP,Bekstore,3.7,63%,159.00,159.00,noon-marketplace,https://www.noon.com//egypt-en/non-slip-yoga-mat-with-carrying-bag/N39552148A/p/?o=fb086e376afc5e3c
18-10-2022,YOGA0041,TOEON,5-Piece Fitness Exercise Yoga Stretching Strap With Cloth Bag,EGP,Happy shopping,2.9,37%,160.00,160.00,noon-marketplace,https://www.noon.com//egypt-en/5-piece-fitness-exercise-yoga-stretching-strap-with-cloth-bag/N28558709A/p/?o=a71ff5024c15d49e
18-10-2022,6316-72,Athlete Home,Yoga Ball 2021 75cm,EGP,Athlete Home,3.8,68%,169.00,169.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-75cm/N51237368A/p/?o=ba6f3906d4e85c7e
18-10-2022,Y14484,LIXADA,11-Piece Yoga Resistance Belt With Bag 22x6x19.00centimeter,EGP,Vision Technology,4.8,89%,288.00,250.00,noon-marketplace,https://www.noon.com//egypt-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00centimeter/N37380614A/p/?o=c672b23f5ce8f72a
18-10-2022,YB-85PK,body heart,Yoga Ball With Air Pump - 85 cm 85centimeter,EGP,Souqegypt,2.4,30%,220.00,220.00,noon-marketplace,https://www.noon.com//egypt-en/yoga-ball-with-air-pump-85-cm-85centimeter/N16529626A/p/?o=c1989f1c755e6b3c
18-10-2022,4915,Athlete Home,Heat Yoga Ball With Blower 75centimeter,EGP,Athlete Home,3.8,68%,225.00,225.00,noon-express,https://www.noon.com//egypt-en/heat-yoga-ball-with-blower-75centimeter/N38132275A/p/?o=c98ec42067393dac
18-10-2022,4914,Athlete Home,Heat Yoga Ball With Blower 65centimeter,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/heat-yoga-ball-with-blower-65centimeter/N38132274A/p/?o=f7e25f0ea96619fc
18-10-2022,1004591,UFIT,Non Slip Yoga Mat With Carrying Bag 61 cm,EGP,Alfayez sports,3.2,59%,250.00,199.00,noon-marketplace,https://www.noon.com//egypt-en/non-slip-yoga-mat-with-carrying-bag-61-cm/N39552103A/p/?o=d157935889474d6b
18-10-2022,31510,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/Z50166D93AE113A3BD14CZ/p/?o=z50166d93ae113a3bd14cz-1
18-10-2022,322.26081258.17,Gymbit,Yoga Mat With Carrying Strap And Bag 10millimeter,EGP,Alfayez sports,3.2,59%,250.00,250.00,noon-marketplace,https://www.noon.com//egypt-en/yoga-mat-with-carrying-strap-and-bag-10millimeter/N44712209A/p/?o=b95775a18db4a05b
18-10-2022,6034,Athlete Home,Athlete Home Foam Roller multi Color,EGP,Athlete Home,3.8,68%,249.00,249.00,noon-express,https://www.noon.com//egypt-en/athlete-home-foam-roller-multi-color/Z33836E9B35BF66098518Z/p/?o=z33836e9b35bf66098518z-1
18-10-2022,31515,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/Z5E9AE9A0236BFF7F7BEAZ/p/?o=z5e9ae9a0236bff7f7beaz-1
18-10-2022,SYI4790216,Generic,Fitness Mini Yoga Ball 25cm,EGP,Brenda Box,2.8,43%,59.90 ,59.90 ,noon-express,https://www.noon.com//egypt-en/fitness-mini-yoga-ball-25cm/N40877223A/p/?o=ea0cb2095606991f
18-10-2022,6555,Athlete Home,Athlete Home 5mm Mat With Bag,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/athlete-home-5mm-mat-with-bag/Z3E1423A1CF26E531378CZ/p/?o=z3e1423a1cf26e531378cz-1
18-10-2022,5983-1,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,199.00,199.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/N51237159A/p/?o=e414de9c544fc90b
18-10-2022,LS3258,Liveup,Mat LS3258,EGP,Athlete Home,3.8,68%,450.00,450.00,noon-express,https://www.noon.com//egypt-en/mat-ls3258/Z883B7DA07400D7DEE150Z/p/?o=z883b7da07400d7dee150z-1
18-10-2022,null,Athlete Home,Exercise Mat 6 mm colors PVC,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-6-mm-colors-pvc/ZF49FCAD2F3676C8222BAZ/p/?o=zf49fcad2f3676c8222baz-1
18-10-2022,null,Athlete Home,Exercise Mat 6Mm Eva,EGP,Athlete Home,3.8,68%,250.00,250.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-6mm-eva/Z30A2A55BC86E35634D6CZ/p/?o=z30a2a55bc86e35634d6cz-1
18-10-2022,QB-8380,BODY SCULPTURE,Cork Yoga Mat,EGP,noon,4.2,78%,1049.0,746.00,noon-express,https://www.noon.com//egypt-en/cork-yoga-mat/N52252533A/p/?o=f3d9eb65227cdcaf
18-10-2022,322.75634403.17,Mesuca,Yoga Mat with Carry Net - 6mm,EGP,Alfayez sports,3.2,59%,220.00,220.00,noon-marketplace,https://www.noon.com//egypt-en/yoga-mat-with-carry-net-6mm/N44711572A/p/?o=dd8f9fff373824de
18-10-2022,322.74151870.17,Gymbit,Yoga Mat With Carrying Strap And Bag 10millimeter,EGP,Alfayez sports,3.2,59%,275.00,275.00,noon-marketplace,https://www.noon.com//egypt-en/yoga-mat-with-carrying-strap-and-bag-10millimeter/N44712216A/p/?o=db61ec17493adbfb
18-10-2022,null,Cactus Fitness,Cactus fitness Yoga Pilates Mat Gym Exercise Mat Home Fitness For Women And Men Non-slip TPE mat 183cm extra long,EGP,Cactus Fitness,null,null,368.00,345.00,noon-marketplace,https://www.noon.com//egypt-en/cactus-fitness-yoga-pilates-mat-gym-exercise-mat-home-fitness-for-women-and-men-non-slip-tpe-mat-183cm-extra-long/Z32F83DB40EC8BFF57E40Z/p/?o=z32f83db40ec8bff57e40z-1
18-10-2022,6043-10,Athlete Home,Exercise Yoga Aerobic Ball 65cm,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-yoga-aerobic-ball-65cm/N51237306A/p/?o=f19bdd7f1050d24f
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/Z03A287907900991A3B28Z/p/?o=z03a287907900991a3b28z-1
18-10-2022,Y-14837BL,Generic,Yoga Ball 25centimeter,EGP,Brenda Box,2.8,43%,59.90 ,59.90 ,noon-express,https://www.noon.com//egypt-en/yoga-ball-25centimeter/N36591417A/p/?o=d43d7ff6bda33ddf
18-10-2022,BB-8330,BODY SCULPTURE,Yoga Mat 17mm,EGP,noon,4.2,78%,917.00,799.00,noon-express,https://www.noon.com//egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/ZEBED6D16E0EC765CAF2EZ/p/?o=zebed6d16e0ec765caf2ez-1
18-10-2022,2025515992,Spurt,18D-141 Yoga Roller Pink 30cm,EGP,noon,4.2,78%,293.00,183.00,noon-express,https://www.noon.com//egypt-en/18d-141-yoga-roller-pink-30cm/N46040263A/p/?o=e136e8d59160f04b
18-10-2022,6849,Athlete Home,Power Pull High End Mat,EGP,Athlete Home,3.8,68%,400.00,360.00,noon-express,https://www.noon.com//egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1
18-10-2022,6316-71,Athlete Home,Yoga Ball 2021 65cm,EGP,Athlete Home,3.8,68%,159.00,159.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-65cm/N51237367A/p/?o=caadc10a1c81c2cf
18-10-2022,6316-70,Athlete Home,Yoga Ball 2021 55cm,EGP,Athlete Home,3.8,68%,149.00,149.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-55cm/N51237366A/p/?o=f1eac5b35d4d5bab
18-10-2022,31516,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1
18-10-2022,322-60979526-17,UFIT,Yoga Mat With Carrying Strap & Bag- 10 Mm 183 x 61 x 1cm,EGP,Kanteen.store,3.7,59%,319.00,319.00,noon-marketplace,https://www.noon.com//egypt-en/yoga-mat-with-carrying-strap-bag-10-mm-183-x-61-x-1cm/N44711368A/p/?o=ccdc870db72447af
